Barcode,Product Name,Brand,Category,Ingredients,Allergens,Cross-Contaminants,Calories (kcal),Proteins (g),Fat (g),Carbohydrates (g),Available In,Labels,Nutrition Grade
8901207004391,Real Fruit Power Mango,Dabur,Fruit juices,"Water, Blend of Mango Pulp (25%)^, [Including Alphonso Mango Pulp (0.5%)] Sugar, Acidity Regulator (INS 330), Stabilizer (INS 440), Antioxidant (INS 300), Flavour (Nature Identical Flavouring Substances) and Colour [INS 160 a(iii)].
^THIS CONTAINS 25% MANGO JUICE CONTENT.",,,57,0,0,14.3,en:india,,e
8906133100063,Snacky,Karachi bakery,"Snacks,Sweet snacks,Confectioneries","Sugar, Cocoa Solids, Milk Solids, Edible Vegetables Oil, Say Lecithin, Hazelnut, Corn Flakes, Flour & Natural Flavours.",,,562,11,36,48.5,en:india,,e
8901499008701,Special K original,Kellogg's,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals","Rice (36.2%), Whole Wheat (33.2%), Sugar, Wheat Bran (4.7%), Liquid Glucose, lodized Salt, Cereal Extract, Vitamins, Mineral and Antioxidant (INS 320).",,,360,8.3,1,85.3,en:india,"en:vegetarian, en:green-dot-india",d
8902188801092,chilli powder,Ramdev,"Plant-based foods and beverages, Plant-based foods, Condiments, Spices, Chilli powder, Groceries","Chilli powder, Refined palmolein edible oil.",en:Chilli,,435.01,14.12,19.33,51.14,en:india,,not-applicable
8904043551579,multgrain bread,modern,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads","Refined Wheat Flour (Maida), Whole Wheat Flour (Atta). Grains and Seeds Mix (Flax Seeds, Rolled Oats, Oat Flour, Maize Flour, Pumpkin Seeds, Bengal Gram Flour, Rice Flour, Barley Flour, White Sesame Seeds, Bajra, Sorghum), Sugar, Gluten, Yeast, Edible Vegetable Oil (Refined Palmoléin Oil), lodized Salt, Malt Product. Soya Flour, Preservatives (282, 200), Wheat Bran, Emulsifier (471), Acidity Regulator (260), Flour Treatment Agents (1100, 1102, 1104, 510) and Antioxidant (300). 'Other Grains Flour Mix - 10.7%",,,266,10.3,4.75,45.73,en:india,"en:vegetarian, en:green-dot-india",unknown
8906021129961,lemon pickle,aachi,"Plant-based foods and beverages, Plant-based foods, Pickles, Plant-based pickles, Lime Pickle","Lemon (79%), Salt, Edible Vegetable Oil - Refined Rice Bran Oil, Red Chilli Powder, Fenugreek, Mustard, Asafoetida, Turmeric Powder, Acidity Regulators - (INS 330 & INS 260) and Curry Leaves. CONTAINS PERMITTED CLASS II PRESERVATIVE INS 211",en:mustard,,136.8,2.7,8.8,11.7,en:india,"en:vegetarian, en:green-dot-india",e
8902080304349,7up 2.25,7up,"Beverages and beverages preparations,Beverages,Carbonated drinks,Sodas,Colas",,,,47,0,0,11.7,en:india,,e
8906143891678,Whey Protein Isolate,The Wholetruth,"Dietary supplements,Bodybuilding supplements,Protein powders",,,,131.95,30.415,0.7,1.099,en:india,"en:vegetarian, en:green-dot-india, en:no-lactose",unknown
8906008350388,Ragi Malt,Manna,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Céréales et dérivés,Farines,Farines de céréales,Farines de malt,en:Finger Millet flours","Sugar, Ragi (25%), Milk Solids (20%), Maltodextrin, Barley Malt extract, Cardamom CONTAINS PERMITTED NATURAL COLOUR - BETA CAROTENE (INS 160a (iii))","en:gluten,en:milk",,58,1.2,0.2,13,en:india,"en:vegetarian, en:green-dot-india",c
8901207050671,real,Dabur,fruit based beverages,"Water, Sugar, Mango Pulp (10%), Acidity Regulator (INS 330), Stabilizers (INS 412 & INS 466), Antioxidant (INS 300), Flavours (Nature Identical and Artificial Mango Flavouring Substances) and Colour (INS 110).",,,53,0.1,0,13.2,en:india,,e
8903363010025,Nutri Delite Muesli,Nutri Delite,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals","OATS (16.9%), SUGAR, WHEAT FLAKES (14.3%), CORN GRITS (10.5%), DRIED PAPAYA (8.5%), BARLEY FLAKES (6.8%), RICE (6.3%), LIQUID GLUCOSE, BLACK RAISINS (5%), SLICED ALMONDS (5%), DRIED APPLE (4%), MALT, IODIZED SALT, NATURE DENTICAL FLAVOUR HONEY, CITRIC ACID (INS 330), SOYA LECITHIN (INS 322 (i), TOCOPHEROL (INS 307b).",,,413.1,8.7,7.9,76.8,en:india,"en:vegetarian, en:green-dot-india",d
8908018251389,Artos Drinking Water,Artos,"Beverages and beverages preparations,Beverages,Waters","TREATED WATER, MINERALS (2.8%) (SALTS OF MAGNESIUM, CALCIUM & SODIUM)",,,0,0,0,0,en:india,"en:vegetarian, en:green-dot-india",b
8908018963206,Lite Chiwda,"BABU,Laxminarayan",Snacks,"Riceflakes, Refined Groundnut Oil, Sugar, Vanaspati, Gram Flour, Asafoetida, Dry Mango Powder, Iodised Salt.",,,595,6.1,40.8,50,en:india,"en:vegetarian, en:green-dot-india",e
8906020581364,Protein Rich Dosa Batter,ID,"Idly batter mixes,Dosa batter mixes","RO-Purified Water (52%), Rice (27%), Protein Blend (Pea Protein Isolate, Soya Protein Isolate, Brown Rice Protein Isolate) (8.5%), Urad Dal, Rice Rava, Iodised Salt And Fenugreek.",,,88.68,7.62,0.16,14.19,en:india,"en:vegetarian, en:green-dot-india",a
8939111430166,Creatine Monohydrate,wellcore,"Dietary supplements, en:bodybuilding-supplements",,,,0,0,0,0,en:india,,unknown
8904335602392,Daily 10g Protein Bar,Yoga Bar,"Dietary supplements,Bodybuilding supplements,Protein bars","Dates 43%, Protein Blend 21% (Soy Protein Crisp & Whey Protein Concentrate), Cashew Paste, Dark Chocolate 12% (Cocoa Solids, Cocoa Butter, Cocoa Powder, Sugar, Soy Lecithin, Natural Vanilla), Cocoa Powder Cranberries, Chocolate Chips 2% (Cocoa Solids, Cocoa Butter, Cocoa Powder, Sugar, Soy Lecithin, Natural Vanilla). Contains Added Natural Flavours: Rosemary & Chocolate",,,199,10.9,5.3,26.9,en:india,"en:no-gluten, en:vegetarian, en:no-preservatives, en:green-dot-india",not-applicable
8901652142136,Butter Delite,priyagold,Biscuits,No ingredients available,,,520,9.12,25.82,19,"en:australia, en:india",,e
8901030831706,Mixed fruit Jam,"Kissan, Hindustan Unilever Limited",Mixed fruit jams,"SUGAR, MIXED FRUIT PULP BLEND - 60% (PAPAYA PULP, PEAR PULP, APPLE JUICE, BANANA PULP PINEAPPLE JUICE, ORANGE JUICE, MANGO PULP, GRAPE JUICE), ACIDITY REGULATOR-E330, THICKENER-E440, 10DISED SALT, VITAMINS & MINERAL, PRESERVATIVE-E202, NATURAL FLAVOURING SUBSTANCES, FOOD COLOUR-E122 NUMBER OF SERVES PER PACK: APPROX. 25, PER SERVE: 20 g (1 Tbsp)",,,286.66666666667,0,0,70.666666666667,"en:canada, en:india",,unknown
4424477778877,Amway Nutrilite,Amway,"Beverages and beverages preparations,Beverage preparations","Sucrose, Whey Protein concentrate (14.6 %), Non Dairy Creamer, Cocoa Lecithinated (Cocoa Powder, Emulsifier {INS 322}), Soy Protein Isolate (5.10%) (Isolated Soy Protein, Emulsifier (INS 322(i)}), Dairy Whitener, Mineral Premix (4.3%) [Zinc sulphate, Ferrous sulphate, Sodium chloride, Magnesium phosphate dibasic, Potassium phosphate dibasic, Tribasic calcium phosphate, Diluent (Dextrose)], Bulking agent (Maltodextrin), Cocoa Powder, Natural Flavouring Substance (Chocolate and Vanilla), Salt, Vitamin Premix (0.2%) [Ascorbic acid, Bulking agent (Corn starch), Vitamin A acetate, Antioxidants (Tocoferol), Solubalizer (sorbitan oleate esters), Vehicle (Vegetable oil-Corn oil), Bulking agent (INS 414), Sugar, Carrier (INS 551), Thiamine mononitrate, Ergocalciferol, Riboflavin, Calcium pantothenate, Pyridoxine HCI, Folic acid, Cyanocobalamin, Diluent (Dextrose)], Nature Identical Flavouring Substance (Caramel &Cream), Natural Colour (INS 162).",,,101.22,4.15,2.38,15.8,en:india,"en:vegetarian, en:green-dot-india",unknown
8901648922827,Mother Dairy Super-T Milk,Mother Dairy,Milks,"Milk Solids, Vitamin A, Vitamin D2",en:milk,,56,3.1,3.1,4.8,en:india,,b
8901576003063,Butter Murukku,Modern Kitchens,"Snacks, Salty snacks","Rice, Urad Dal, Tapioca Powder, Nandini or Amul Butter, Salt, Refined Vegetable Oil, Sesame Seeds & Cumin Seeds",en:sesame-seeds,,120,3,5,15,en:india,"en:vegetarian, en:green-dot-india",unknown
8906135451736,organic apple cider vinegar,boldfit,"Condiments, Vinegars, Cider vinegars",Certified Organic Apple Juice Fermented to 4% Acidity,,,21.4,0,0,5.3,en:india,"en:vegetarian, en:green-dot-india, en:no-added-sugar, en:no-additives",not-applicable
7622201431594,Oreo Cream Biscuit,Cadbury,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Sandwich biscuit","Refined Wheat Flour (Maida), Sugar, Edible Vegetable Fat, Palmolein, Cocoa Solids (3%*), Invert Sugar, Leavening Agents [500(ii), 503(ii)], lodised Salt, Emulsifier (322). CONTAINS ADDED FLAVOUR (NATURE IDENTICAL FLAVOURING SUBSTANCES). Allergen information: Contains Wheat. May Contain Milk.",,,483,5.3,19.7,71.4,"en:india, en:united-states","en:vegetarian, en:vegetarian-society",e
8030853001833,olive oil,Frantoi Cutrera,extra-virgin olive oils,No ingredients available,,,824,0,91.6,0,en:india,en:pgi,b
8906009535159,7 Grain Breakfast Cookie Choco Almond,Max Protein,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Chocolate biscuits,Biscuit with a chocolate bar covering","Protein Blend 25% (High Protein Peanut Flour, Wheat Protein, Soy Protein Isolate, Whey Protein Concentrate), Dietary Fiber (Fructo-oligosaccharide), Rice Bran Oil, Millets, Cereals And Pulses Blend (Wheat Flour, Corn Flour, Oats Flour, Ragi Flour, Quinoa Flour, Amaranth Puffs, Roasted Chick Pea Flour), Almond Bits (8%), Cocoa Powder, Humectant (Glycerine), Binding Agents (Xanthan Gum, Gum Acacia), Leavening Agent (Baking Powder), Tricalcium Phosphate, Emulsifiers (Soy Lecithin), Salt, Psyllium Husk, Antioxidant (Rosemary Extract), Sweetener (Sucralose)","en:gluten,en:milk,en:nuts,en:soybeans,en:Cereals",,278,12,16.3,22.1,en:india,"en:vegetarian, en:green-dot-india, en:no-added-sugar",c
8904043901077,Salt LITE,TATA,"Condiments,Salts,Iodised salts","Edible Common Salt, Potassium Chloride, Anticaking Agents (INS 551, INS 536), Potassium lodate",,,0,0,0,0,en:india,"en:vegetarian, en:green-dot-india",not-applicable
8908000097933,Crunchy Muesli,Gaia,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Mueslis","Wheat Flakes (51.85%), Corn Flakes (15.18%), Rolled Oats (14.26%), Invert Sugar Syrup (7.06%), Almond, Green Raisins, Black Raisins, Honey, Liquid Glucose, Honey Powder, Antioxidant (E310)","en:gluten,en:nuts","en:gluten,en:nuts",418.68,12.13,6.32,78.32,en:india,"en:vegetarian, en:green-dot-india",b
8901262070546,Chocominis,Amul,Amul Dark Chocolate,"Sugar,Hydrogenated Editble Vegetable Fat,Milk Solids, Coco Solids,Permitted Emulsifiers(E492,E322)",en:milk,,526,5.3,29.3,61.1,en:india,"en:no-artificial-flavors, en:no-artificial-sweeteners, en:no-artificial-flavourings-or-sweeteners",e
